Time,Max Curvature,Min Curvature,Average Curvature,Flatness
0.69,-0.11344019333625713,-1.1494056974147353,-0.26937726099369286,0.11812511873822405
0.695,-0.11849997969983386,-1.1580940336676178,-0.2752821674055052,0.11867689846903101
0.7,-0.12364130288931288,-1.1668330519343186,-0.2811157582688541,0.11917624486719658
0.705,-0.12883199718880714,-1.1756115125501363,-0.2868766405192398,0.11962191087691086
0.71,-0.1341075783649071,-1.1844176811004663,-0.29256343685680486,0.1200128265894677
0.715,-0.13923694668946396,-1.1932393847770444,-0.29817478625152594,0.12034809145602555
0.72,-0.14445758066458858,-1.2020640702621064,-0.30370934445740905,0.12062696718919325
0.725,-0.14977120477656536,-1.2108788628779732,-0.3091657845346081,0.12084887132129106
0.73,-0.1550691099324964,-1.2196706267357824,-0.3145427973783407,0.1210133713872903
0.735,-0.16027402189497642,-1.2284260256143829,-0.3198390922534245,0.12112017970132606
0.74,-0.16557114824103153,-1.2371315842988846,-0.3250533973332264,0.1211691486970673
0.745,-0.17095979925630286,-1.2457737501079187,-0.33018446024177645,0.1211602668039395
0.75,-0.17623372373618493,-1.2543389543394,-0.3352310485977757,0.12109365483308931
0.755,-0.18154614357758248,-1.2628136733663995,-0.34019195055919577,0.12096956284894606
0.76,-0.18690623444103993,-1.2711844891177217,-0.3450659753671563,0.12078836750417625
0.765,-0.1923452362419592,-1.2794381486818076,-0.34985195388775026,0.12055056981768691
0.77,-0.19761797558676897,-1.2875616227777344,-0.3545487391504782,0.1202567933770461
0.775,-0.20296477153788092,-1.2955421628432673,-0.3591552068819555,0.11990778294820192
0.78,-0.20838561628379101,-1.3033673564971164,-0.3636702560335511,0.11950440347666283
0.785,-0.213707274643023,-1.3110251811407787,-0.36809280930163385,0.11904763946529445
0.79,-0.21902132549948408,-1.3185040554744787,-0.3724218136391109,0.1185385947145547
0.795,-0.22436749208750764,-1.3257928887118164,-0.37665624075696286,0.11797849241127986
0.8,-0.22975900273221864,-1.332881127288657,-0.38079508761450587,0.11736867555199752
0.805,-0.23503020460928353,-1.3397587988735746,-0.3848373768971391,0.11671060768610148
0.81,-0.24029138326564028,-1.3464165534996924,-0.3887821574803697,0.1160058739630245
0.815,-0.24559268051503477,-1.3528457016510207,-0.39262850487895173,0.11525618246568045
0.82,-0.2509255805505224,-1.3590382491503017,-0.3963755216800097,0.11446336580983027
0.825,-0.2560618271962892,-1.3649869287098917,-0.4000223379590745,0.11362938298552999
0.83,-0.26120168303365215,-1.3706852280222597,-0.4035681116780089,0.11275632141231631
0.835,-0.26635561027862475,-1.3761274142822135,-0.40701202906385553,0.11184639917411754
0.84,-0.27151365605311417,-1.3813085550488955,-0.41035330496769995,0.11090196739289135
0.845,-0.27652720647961193,-1.3862245353718714,-0.4135911832027081,0.10992551269148859
0.85,-0.28149622246740913,-1.3908720711221891,-0.41672493686056294,0.10891965968605354
0.855,-0.2864479359275383,-1.3952487184860296,-0.41975386860559355,0.10788717343619453
0.86,-0.29137125516985135,-1.3993528795954635,-0.4226773109459654,0.1068309617670268
0.865,-0.2962431521030315,-1.4031838042877756,-0.4254946264813745,0.10575407736083924
0.87,-0.30092002352118696,-1.40674158800175,-0.4282052081267636,0.10465971949748046
0.875,-0.30554742200569474,-1.4100271658361745,-0.4308084793116626,0.10355123530155741
0.88,-0.31011360831972135,-1.413042302812522,-0.43330389415482823,0.1024321203313083
0.885,-0.31460669323792445,-1.4157895804002598,-0.4356909376139452,0.10130601831877831
0.89,-0.3190146932790642,-1.4182723793794278,-0.4379691256102342,0.10017671984419065
0.895,-0.32332558680904994,-1.420494859130975,-0.44013800512788637,0.09904815969991787
0.9,-0.3274779018949937,-1.4224619334607518,-0.4421971542883375,0.09792441267232216
0.905,-0.3314977270160586,-1.4241792430779985,-0.44414618239946957,0.09680968744449875
0.91,-0.3353967315788143,-1.4256531248635438,-0.44598472997991156,0.09570831830163422
0.915,-0.3391631460162855,-1.4268905780767112,-0.4477124687586951,0.0946247543058393
0.92,-0.3427853816123707,-1.4278992276630311,-0.4493291016505933,0.09356354560201793
0.925,-0.34625208464976065,-1.428687284837261,-0.4508343627075577,0.09252932652418959
0.93,-0.3495521894476731,-1.4292635051278246,-0.45222801704673565,0.0915267951966076
0.935,-0.35267497005071274,-1.429637144079591,-0.4535098607556322,0.0905606893701177
0.94,-0.35561009033653346,-1.4298179108218516,-0.4546797207750449,0.08963575830531711
0.945,-0.35834765231733745,-1.4298159197173925,-0.4557374547604739,0.08875673061336138
0.95,-0.3608782424185683,-1.4296416403166488,-0.45668295092277056,0.08792827809454544
0.955,-0.36319297552739777,-1.4293058458480583,-0.45751612784885326,0.08715497577387715
0.96,-0.3652835366137185,-1.428819560481839,-0.45823693430337636,0.08644125851883427
0.965,-0.3671301472737456,-1.428194005609519,-0.4588453490122902,0.08579137483110036
0.97,-0.36868213888839324,-1.427440545385577,-0.45934138042928496,0.08520933862129865
0.975,-0.36998283611972244,-1.4265706317805347,-0.45972506648615474,0.0846988799899139
0.98,-0.37102731823494245,-1.4255957493967444,-0.459996474328158,0.08426339623186598
0.985,-0.3718114255920219,-1.4245273602989257,-0.460155700035493,0.08390590443781992
0.99,-0.37233177946776036,-1.4233768491112344,-0.46020286833203233,0.08362899716341068
0.995,-0.3725660581047769,-1.4221554686312972,-0.4601381322824947,0.08343480266146293
